record_id,title,authors,abstract,year,doi,pmid,venue,url,publication_type,source,source_database
81,Uc-PrUn: Uncertainty-Calibrated Machine Unlearning using Vision–Language Models for Clinical Decision Support,"Farhan Sheth, Mohd Mujtaba Akhtar, Girish, Muskaan Singh, Alexander Davey",,,,,,https://doi.org/10.1145/3820497,,,ACM Digital Library
82,MeDKCoOp: Dual Knowledge-guided Graph Prompt Learning for Biomedical Vision-Language Models,"Yijun Wang, Siying Wu, Lubin Gan, Zheyu Zhang, Jing Zhang, Zhangchi Hu, Huyue Zhu, Peixi Wu, Xiaoyan Sun",,,,,,https://doi.org/10.1145/3746027.3755135,,,ACM Digital Library
83,Physics-informed Machine Learning for Medical Image Analysis,"Chayan Banerjee, Kien Nguyen, Olivier Salvado, Truyen Tran, Clinton Fookes",,,,,,https://doi.org/10.1145/3768158,,,ACM Digital Library
84,Fair Foundation Models for Medical Image Analysis: Challenges and Perspectives,"Dilermando Queiroz, Anderson Carlos, André Anjos, Lilian Berton",,,,,,https://doi.org/10.1145/3793542,,,ACM Digital Library
85,Auction-based Incentive Mechanism Design for Federated Learning in Medical Image Analysis,Lianghong Peng,,,,,,https://doi.org/10.1145/3773365.3773586,,,ACM Digital Library
86,Survey on Adversarial Attack and Defense for Medical Image Analysis: Methods and Challenges,"Junhao Dong, Junxi Chen, Xiaohua Xie, Jianhuang Lai, Hao Chen",,,,,,https://doi.org/10.1145/3702638,,,ACM Digital Library
87,Learning Joint Text and Visual Tokens in CLIP for Medical Image Analysis,"Raffaele Mineo, Giovanni Bellitto, Federica Proietto Salanitri, Rutger Hendrix, Concetto Spampinato, Simone Palazzo",,,,,,https://doi.org/10.1145/3728424.3760770,,,ACM Digital Library
88,Edge-Deployed Lightweight LLMs for Medical Imaging: Real-Time Dual Report Generation with Progression Aware Summarization,"Vikas Hassija, Sparsh Bajoria, Adhitya M, Vinay Chamola",,,,,,https://doi.org/10.1145/3796263.3796284,,,ACM Digital Library
89,When Many Minds Focus: A Review of Attention-Enhanced Ensemble Models in Medical Imaging,"Thabang Fenge Isaka, Claire Wynne, Jane Courtney",,,,,,https://doi.org/10.1145/3820158,,,ACM Digital Library
90,Continual Learning in Medical Imaging: A Survey and Practical Analysis,"Mohammad Areeb Qazi, Anees Ur Rehman Hashmi, Santosh Sanjeev, Ibrahim Almakky, Numan Saeed, Camila González, Mohammad Yaqub",,,,,,https://doi.org/10.1145/3785663,,,ACM Digital Library
91,"In the Picture: Medical Imaging Datasets, Artifacts, and their Living Review","Amelia Jiménez-Sánchez, Natalia-Rozalia Avlona, Sarah de Boer, Víctor M. Campello, Aasa Feragen, Enzo Ferrante, Melanie Ganz, Judy Wawira Gichoya, Camila Gonzalez, Steff Groefsema, + 19",,,,,,https://doi.org/10.1145/3715275.3732035,,,ACM Digital Library
92,Real-Time Dress Code Detection using MobileNetV2 Transfer Learning on NVIDIA Jetson Nano,"Laxmi Kantham Durgam, Ravi Kumar Jatoth",,,,,,https://doi.org/10.1145/3638985.3638987,,,ACM Digital Library
93,Edge AI for Aviation Traffic Forecasting A Weather-Aware System on Jetson Orin Nano,"Michal Niemczyk, Mariusz Mol",,,,,,https://doi.org/10.1145/3788149.3788152,,,ACM Digital Library
94,Pedestrian recognition method based on Jetson nano,"Lemei Zhang, Yu Xin, Letao Zhang",,,,,,https://doi.org/10.1145/3617695.3617715,,,ACM Digital Library
95,OpenMP Offloading in the Jetson Nano Platform,"Ilias K. Kasmeridis, Vassilios V. Dimakopoulos",,,,,,https://doi.org/10.1145/3547276.3548517,,,ACM Digital Library
96,Optimizing Deep Learning Based Autonomous Driving Applications on Edge Devices,"Ishparsh Uprety, Griffen Agnello, Xinghui Zhao",,,,,,https://doi.org/10.1145/3766069,,,ACM Digital Library
97,Deep Learning Workload Mapping Optimization on Jetson Platforms,"Farui Wang, Meng Hao, Siyu Yang, Weizhe Zhang",,,,,,https://doi.org/10.1145/3736175,,,ACM Digital Library
98,Autonomous Vehicle Control Using a Deep Neural Network and Jetson Nano,"Rocco Febbo, Brendan Flood, Julian Halloy, Patrick Lau, Kwai Wong, Alan Ayala",,,,,,https://doi.org/10.1145/3311790.3396669,,,ACM Digital Library
99,LVLM-MIR: Large Vision-Language Model with Parameter-Efficient Fine-Tuning for Multimodal Interleaved Reasoning,"Jun Yu, Xilong Lu, Cong Wang, Qiang Ling",,,,,,https://doi.org/10.1145/3746027.3762002,,,ACM Digital Library
100,GeoMag: A Vision-Language Model for Pixel-level Fine-Grained Remote Sensing Image Parsing,"Xianzhi Ma, Jianhui Li, Changhua Pei, Hao Liu",,,,,,https://doi.org/10.1145/3746027.3754559,,,ACM Digital Library
101,MM-Skin: Enhancing Dermatology Vision-Language Model with an Image-Text Dataset Derived from Textbooks,"Wenqi Zeng, Yuqi Sun, Chenxi Ma, Weimin Tan, Bo Yan",,,,,,https://doi.org/10.1145/3746027.3755187,,,ACM Digital Library
102,Progressive Semantic Residual Quantization for Multimodal-Joint Interest Modeling in Music Recommendation,"Shijia Wang, Tianpei Ouyang, Qiang Xiao, Dongjing Wang, Yintao Ren, Songpei Xu, Da Guo, Chuanjiang Luo",,,,,,https://doi.org/10.1145/3746252.3761579,,,ACM Digital Library
103,MQuant: Unleashing the Inference Potential of Multimodal Large Language Models via Static Quantization,"Jiangyong Yu, Sifan Zhou, Dawei Yang, Shuoyu Li, Shuo Wang, Xing Hu, Chen Xu, Zukang Xu, Changyong Shu, Zhihang Yuan",,,,,,https://doi.org/10.1145/3746027.3755433,,,ACM Digital Library
104,Toward an AI Director: Automating Live Presentations with Local Vision-Language Models,"Eugenio Giuseppe Nerelli, Alberto Robazza, Andrea Turchet, Mario Montagud Climent",,,,,,https://doi.org/10.1145/3788851.3815032,,,ACM Digital Library
105,IndicMedQA: Multimodal Medical Query Analysis in Indian Languages,"Akash Ghosh, Arkadeep Acharya, Muhsin Muhsin, Aman Chadha, Vinija Jain, Setu Sinha, Sriparna Saha",,,,,,https://doi.org/10.1145/3833083,,,ACM Digital Library
106,OSPC: Multimodal Harmful Content Detection using Fine-tuned Language Models,Bill Cai,,,,,,https://doi.org/10.1145/3589335.3665997,,,ACM Digital Library
107,Vec-LUT: Vector Table Lookup for Parallel Ultra-Low-Bit LLM Inference on Edge Devices,"Xiangyu Li, Chengyu Yin, Weijun Wang, Jianyu Wei, Ting Cao, Yunxin Liu",,,,,,https://doi.org/10.1145/3745756.3809200,,,ACM Digital Library
108,Leveraging LLMs for Attribute Definition and Value Extraction from User-Generated Texts on a C2C E-Commerce Platform,"Andre Rusli, Yuji Oshima, Yuki Yada",,,,,,https://doi.org/10.1145/3711542.3711599,,,ACM Digital Library
109,EC-RAG: Evidence-Centric Retrieval-Augmented Generation for Medical Visual Question Answering,"Songming Li, Jun Long",,,,,,https://doi.org/10.1145/3805622.3810670,,,ACM Digital Library
110,Medusa: Cross-Modal Transferable Adversarial Attacks on Multimodal Medical Retrieval-Augmented Generation,"Yingjia Shang, Yi Liu, Huimin Wang, Furong Li, Wenfang Sun, Chengyu Wu, Yefeng Zheng",,,,,,https://doi.org/10.1145/3770854.3780277,,,ACM Digital Library
111,MGK-RAG: Multi-Granularity Knowledge Guided Retrieval-Augmented Generation for Radiology Report,"Jiaqing Ma, Xiaodong Yue, Yufei Chen, Jie Shi, Zhipeng Wei, Zeyu Jia",,,,,,https://doi.org/10.1145/3774904.3792924,,,ACM Digital Library
112,MIRA: A Novel Framework for Fusing Modalities in Medical RAG,"Jinhong Wang, Tajamul Ashraf, Zongyan Han, Jorma Laaksonen, Rao Muhammad Anwer",,,,,,https://doi.org/10.1145/3746027.3755760,,,ACM Digital Library
113,CheXPO: Preference Optimization for Chest X-ray VLMs with Counterfactual Rationale,"Xiao Liang, Jiawei Hu, Di Wang, Zhi Ma, Lin Zhao, Ronghan Li, Bo Wan, Quan Wang",,,,,,https://doi.org/10.1145/3746027.3754507,,,ACM Digital Library
114,VLMCache: Efficient On-Device Vision-Language Model Inference,"Yinyuan Zhang, Daliang Xu, Zhiyang Chen, Chenghua Wang, Ying Zhang, Mengwei Xu, Gang Huang",,,,,,https://doi.org/10.1145/3745756.3809243,,,ACM Digital Library
115,EvoVLMA: Evolutionary Vision-Language Model Adaptation,"Kun Ding, Ying Wang, Shiming Xiang",,,,,,https://doi.org/10.1145/3746027.3755520,,,ACM Digital Library
116,VISOR: A Vision-Language Model-Based Test Oracle for Testing Robots,"Prasun Saurabh, Pablo Valle, Aitor Arrieta, Shaukat Ali, Paolo Arcaini",,,,,,https://doi.org/10.1145/3805760.3814910,,,ACM Digital Library
117,StreamSense: Streaming Social Task Detection with Selective Vision–Language Model Routing,"Han Wang, Deyi Ji, Lanyun Zhu, Jiebo Luo, Roy Ka-Wei Lee",,,,,,https://doi.org/10.1145/3774904.3793046,,,ACM Digital Library
118,A Vision-Language Model Agent for building code compliance,"Zeyang Zheng, Seyed Hamidreza Nabaei, Somayeh Asadi, Brad Campbell, Arsalan Heydarian",,,,,,https://doi.org/10.1145/3736425.3770118,,,ACM Digital Library
119,Exploring a Collaborative Gamified Approach to Vision-Language Model Evaluation,"Fan Gao, Jenna Ren Mei Wang, Tomomi Sayuda, Miles Pennington, Yusuke Sugano",,,,,,https://doi.org/10.1145/3772363.3799410,,,ACM Digital Library
120,Knowledge-Driven Vision-Language Model for Plexus Detection in Hirschsprung's Disease,"Youssef Megahed, Atallah Madi, Dina El Demellawy, Adrian D. C. Chan",,,,,,https://doi.org/10.1145/3787279.3787326,,,ACM Digital Library
121,RehabGen: Generative Expert-in-the-Loop Vision-Language Model for Everyday Contextualized Rehabilitation Exercises,"Youjin Sung, Heejin Jeong, Xuhai Xu, Sang Ho Yoon",,,,,,https://doi.org/10.1145/3810235,,,ACM Digital Library
122,FUSE-RAG: Few-Shot Universal Segmentation with Retrieval-Augmented Generation for Medical Imaging,"Mohamed Lamine Allaoui, Mohand Saïd Allili, Belaid Ahror",,,,,,https://doi.org/10.1145/3807452,,,ACM Digital Library
123,MMLM-CA: A Multimodal Large Language Model Framework for Automated Insurance Claims Adjudication Integrating Policy Document Understanding and Visual Damage Assessment,"Jiayi Miao, Zhanqing Su, Xiaojun Xiao",,,,,,https://doi.org/10.1145/3797161.3797170,,,ACM Digital Library
124,Vision-Language Model-Assisted Active Learning for High-Accuracy Defect Detection in Automotive Bushing Components,"Shikun Chen, Yangguang Liu",,,,,,https://doi.org/10.1145/3788731.3788733,,,ACM Digital Library
125,Adaptive Scheduling of Multimodal Large Language Model in Intelligent Edge Computing,"Xingyu Yuan, He Li, Mianxiong Dong, Kaoru Ota",,,,,,https://doi.org/10.1145/3774908,,,ACM Digital Library
126,Benchmarking and Characterization of Large Language Model Inference on Apple Silicon,"Afsara Benazir, Felix Xiaozhu Lin",,,,,,https://doi.org/10.1145/3801489.3806865,,,ACM Digital Library
127,Solving Repeated Games with Large Language Model,"Naming Liu, Youzhi Zhang, Ying Wen",,,,,,https://doi.org/10.65109/IRTM9736,,,ACM Digital Library
128,Large Language Model for OWL Proofs,"Hui Yang, Jiaoyan Chen, Uli Sattler",,,,,,https://doi.org/10.1145/3774904.3792395,,,ACM Digital Library
129,PF-LLM: Large Language Model Hinted Hardware Prefetching,"Ceyu Xu, Xiangfeng Sun, Weihang Li, Chen Bai, Bangyan Wang, Mengming Li, Zhiyao Xie, Yuan Xie",,,,,,https://doi.org/10.1145/3779212.3790202,,,ACM Digital Library
130,SpeedLLM: An FPGA Co-design of Large Language Model Inference Accelerator,"Peipei Wang, Wu Guan, Liping Liang, Zhijun Wang, Hanqing Luo, Zhibin Zhang",,,,,,https://doi.org/10.1145/3731545.3735115,,,ACM Digital Library
131,Invited Paper: Experimental Analysis of Distributed Agentic Large-Language Model Inference Architectures,"Kartik Padalkar, Vitor Jesus, Jose M. Alcaraz Calero",,,,,,https://doi.org/10.1145/3820355.3820384,,,ACM Digital Library
132,CFALR: Collaborative Filtering-Augmented Large Language Model for Personalized Fashion Outfit Recommendation,"Yujuan Ding, Junrong Liao, Yunshan Ma, Yi Bin, Wenqi Fan, Tat-Seng Chua, Qing Li",,,,,,https://doi.org/10.1145/3829367,,,ACM Digital Library
133,Prompt Inference Attack on Distributed Large Language Model Inference Frameworks,"Xinjian Luo, Ting Yu, Xiaokui Xiao",,,,,,https://doi.org/10.1145/3719027.3744820,,,ACM Digital Library
